Name Event,Description,Date,Audience,Cycle,Veneu,Address,City ,Country,Website,Link
LES THERMALIES - LYON 2023,"Water, Wellness, Thermalism & Thalassotherapy Exhibition",on Jan. 2023,General Public,once a year,Eurexpo,Bd de l'Europe 69680 Chassieu,Lyon (France),France,http://www.thermalies.com/lyon/thermalies-lyon-en.html,https://www.eventseye.com/fairs/f-les-thermalies-lyon-24933-1.html
INTERNATIONAL CES 2023,The International CES is the world's greatest tradeshow for consumer technology,"Jan. 05 - 08, 2023",General Public,once a year,Las Vegas Convention Center,"3150 Paradise Road  Las Vegas, NV 89109","Las Vegas, NV (USA)",USA,http://www.ces.tech,https://www.eventseye.com/fairs/f-international-ces-1459-1.html
AUSTIN HOME & GARDEN SHOW 2023,"The Austin, TX Home & Garden Show is the place for you to experience what's new in remodelling, gardening, decorating and anything related to your home & garden","Jan. 12 - 14, 2024",Trade & General Public,once a year,Austin Convention Center,"500 East Cesar Chavez Street Austin, TX 78701","Austin, TX (USA)",USA,http://austinfallhomeandgardenshow.com,https://www.eventseye.com/fairs/f-austin-home-garden-show-28332-1.html
COLUMBUS BUILDING & RENOVATION EXPO 2023,"Columbus Build, Remodel & Landscape Expo","Jan. 06 - 08, 2023",Trade & General Public,once a year,Ohio Expo Center & State Fair,"717 East 17th Avenue Columbus, Ohio 43211","Columbus, OH (USA)",USA,http://www.homeshowcenter.com/overview/columbus,https://www.eventseye.com/fairs/f-columbus-building-renovation-expo-11080-1.html
FLORA EXPO 2023,"India's Largest Exhibition for Floriculture, Nursery, Floristry, Greenhouse Technology","Jan. 06 - 08, 2023",Trade Public,once a year,NSIC Exhibition Grounds,New Delhi,New Delhi (India),India,http://www.floraexpo.com,https://www.eventseye.com/fairs/f-flora-expo-9304-1.html
JOHNSON COUNTY HOME + GARDEN SHOW 2023,"Johnson County, KS Home & Garden Show. Innovative Products and Hundreds of Experts all Under One Roof","Jan. 26 - 28, 2024",Trade & General Public,once a year,Overland Park Convention Center,"6000 College Blvd Overland Park, KS 66211","Overland Park, KS (USA)",USA,http://johnsoncountyhomeshow.com,https://www.eventseye.com/fairs/f-johnson-county-home-garden-show-27936-1.html
LANDSCAPE & GARDENING EXPO 2023,"International Exhibition on Nursery, Landscape, Gardening Products, Outdoor Living, & Leisure Industry","Jan. 06 - 08, 2023",Trade Public,once a year,NSIC Exhibition Grounds,New Delhi,New Delhi (India),India,http://www.mediatoday.in/exhibition-of-media-today.html,https://www.eventseye.com/fairs/f-landscape-gardening-expo-23719-1.html
DE GROENE SECTOR VAKBEURS 2023,Green Industry Exhibition of Hardenberg. Gardening and Landscaping Exhibition,"Jan. 09 - 11, 2024",Trade & General Public,once a year,De Nieuwe Haven,Handelsstraat 51 7772 TS Hardenberg,Hardenberg (Netherlands),Netherlands,http://hardenberg.evenementenhal.nl/agenda,https://www.eventseye.com/fairs/f-de-groene-sector-vakbeurs-17342-1.html
"PORTLAND BUILD, REMODEL & LANDSCAPE SHOW 2023","Build, Remodel & Landscape Show","Jan. 06 - 08, 2023",Trade & General Public,once a year,Oregon Convention Center,777 NE Martin Luther King Jr. Blvd,"Portland, OR (USA)",USA,http://www.homeshowcenter.com/overview/portland,https://www.eventseye.com/fairs/f-portland-build-remodel-landscape-show-11127-1.html
READYSTOCK 2023,"Readystock is an international, multi-industry fair of ready-to-sell products fro. various industries. Among them, e.g. household appliances, decorations, gifts, toys, tools, cosmetics, chemicals, groceries, office, school and advertising articles","Jan. 10 - 11, 2023",Trade Public,once a year,Hilton Warsaw Hotel and Convention Centre,"Grzybowska 63 Warsaw, 00-844",Warsaw (Poland),Poland,http://www.readystockfair.com,https://www.eventseye.com/fairs/f-readystock-29549-1.html
MADISON HOME EXPO 2023,Madison (WI) Home Expo,"Jan. 06 - 08, 2023",Trade & General Public,once a year,Monona Terrace Convention Center,"One John Nolen Drive Madison, WI 53703","Madison, WI (USA)",USA,http://www.homeshowcenter.com/overview/Madison,https://www.eventseye.com/fairs/f-madison-home-expo-11082-1.html
AQUAFUN 2023,"Pool, Spa, Wellness & Water Attraction Exhibition. Swimming Pool Services and Equipment, SPA and Wellness, Equipment and Services, Fountains, Ornamental Pools...","Jan. 11 - 13, 2024",Trade & General Public,once a year,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,"Atatürk Havalimani Karsisi 34149 Yesilköy, Istanbul",Istanbul (Turkey),Turkey,http://www.aquafunexpo.com,https://www.eventseye.com/fairs/f-aquafun-28773-1.html
CONFERENCE OF U.S. MAYORS 2023,Conference of U.S. Mayors,"June 02 - 05, 2023",Trade Public,twice a year,?,,"Columbus, OH (USA)",USA,http://www.usmayors.org/meetings,https://www.eventseye.com/fairs/f-conference-of-u.s.-mayors-17391-1.html
SALT LAKE HOME SHOW 2023,"Home & Renovation Show. The best place to find fresh ideas and smart advice for remodelling, home improvement, redesign & more. Innovative Products and Hundreds of Experts all Under One Roof","Jan. 05 - 07, 2024",Trade & General Public,once a year,Mountain America Expo Center,"9575 State St Sandy, UT 84070","Sandy, UT (USA)",USA,http://saltlakehomeshow.com,https://www.eventseye.com/fairs/f-salt-lake-home-show-20374-1.html
ATRAX 2023,"Trade Fair for the Amusement, Attractions, Parks and Recreation Industry in Turkey","Jan. 12 - 14, 2023",Trade Public,once a year,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,"Atatürk Havalimani Karsisi 34149 Yesilköy, Istanbul",Istanbul (Turkey),Turkey,http://www.atraxexpo.com/en,https://www.eventseye.com/fairs/f-atrax-22160-1.html
WINEXPO 2023,"International Specialized Exhibition of Door, Window and Related Machinery of Iran",on Jan. 2024 (?),Trade Public,once a year,Permanent Ground For Tabriz International Exhibition Co.,Km 3 Tabriz - Tehran road Tabriz,Tabriz (Iran),Iran,http://www.tabrizfair.ir/FairCalendar.aspx?Type=1,https://www.eventseye.com/fairs/f-winexpo-15718-1.html
CONSTRO 2023,"International Fair and seminars on Construction Machinery, Materials, Methods & Projects","Jan. 12 - 15, 2023",Trade Public,every 2 years,College of Agriculture Ground,Shivaji Nagar Pune-411005.,Pune (India),India,http://www.constroindia.org,https://www.eventseye.com/fairs/f-constro-22337-1.html
DOMOTEX HANNOVER '2023,World trade Fair for Carpets and Floor Coverings,"Jan. 11 - 14, 2024",Trade Public,once a year,Deutsche Messe Hannover,Messegelände D-30521 Hannover,Hannover (Germany),Germany,http://www.globalfairs.fr/salons/deutsche-messe-ag,https://www.eventseye.com/fairs/f-domotex-hannover-594-1.html
FENS 2023,"Salon des clôtures, des barrières métalliques, des systèmes de protection périmétrique et de la sécurité des terrains de sport. Machines et équipements","Jan. 11 - 13, 2024",Trade Public,once a year,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,"Atatürk Havalimani Karsisi 34149 Yesilköy, Istanbul",Istanbul (Turkey),Turkey,http://www.fensturkey.com,https://www.eventseye.com/fairs/f-fens-28769-1.html
PREMO 2023,"Prefabricated Modular Mobile House and Green Building Sytems Exhibition. Prefabricated, Modular, Mob&#305; le Structures, T&#305; ny Houses, Green Construction Products And Serv&#305; ces","Jan. 11 - 13, 2024",Trade & General Public,once a year,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,"Atatürk Havalimani Karsisi 34149 Yesilköy, Istanbul",Istanbul (Turkey),Turkey,http://www.premoexpo.com,https://www.eventseye.com/fairs/f-premo-28771-1.html
CALGARY RENOVATION SHOW 2023,"Calgary Home and Renovation Show is the place to experience an abundance of design inspiration, remodelling tips and new ideas","Jan. 12 - 14, 2024",Trade & General Public,once a year,BMO Centre,"1410 Olympic Way SE Calgary, AB","Calgary, AB (Canada)",Canada,http://calgaryrenovationshow.com,https://www.eventseye.com/fairs/f-calgary-renovation-show-28329-1.html
WINNIPEG RENOVATION SHOW 2023,"Winnipeg Home and Renovation Show is the place to experience an abundance of design inspiration, remodelling tips and new ideas","Jan. 12 - 14, 2024",Trade & General Public,once a year,"RBC Convention Centre, Winnipeg","375 York Avenue Winnipeg, Manitoba R3C 3J3","Winnipeg, MB (Canada)",Canada,http://winnipegrenovationshow.com,https://www.eventseye.com/fairs/f-winnipeg-renovation-show-28330-1.html
BOUW & RENO 2023,Home & Renovation Expo,"Jan. 13 - 21, 2024",Trade & General Public,once a year,Bouwcentrum Antwerpen - Antwerp Expo,Jan Van Rijswijcklaan 191 2020 Antwerpen,Antwerp (Belgium),Belgium,http://www.bouwreno.be,https://www.eventseye.com/fairs/f-bouw-reno-11578-1.html
COLUMBIA HOME BUILDING & REMODELING EXPO 2023,Home Building & Remodeling Expo,"Jan. 13 - 15, 2023",Trade & General Public,once a year,Columbia Metropolitan Convention Center,"1101 Lincoln Street Columbia, SC 29201","Columbia, SC (USA)",USA,http://www.homeshowcenter.com/overview/columbia,https://www.eventseye.com/fairs/f-columbia-home-building-remodeling-expo-11119-1.html
"CONGRÈS ATEC ITS FRANCE, LES RENCONTRES DE LA MOBILITÉ INTELLIGENTE 2023",Congress and expo bringing together the actors of intelligent mobility,"Jan. 17 - 19, 2023",Trade Public,once a year,Le Beffroi de Montrouge,Place Emile Cresp 92120 Montrouge,Montrouge (France),France,http://congres.atec-its-france.com,https://www.eventseye.com/fairs/f-congres-atec-its-france-les-rencontres-de-la-mobilite-intelligente-21422-1.html
GREENVILLE REMODELING EXPO 2023,Home Remodeling Expo,"Jan. 13 - 15, 2023",Trade & General Public,once a year,"Greenville, SC Convention Center","One Exposition Drive Greenville, SC 29607","Greenville, SC (USA)",USA,http://www.homeshowcenter.com/overview/greenville,https://www.eventseye.com/fairs/f-greenville-remodeling-expo-11129-1.html
DESTINATION HABITAT - BEAUNE 2023,"Home Show. Construction, Renovation, Interior & Exterior Design","Jan. 13 - 15, 2023",Trade & General Public,once a year,Palais des Congrès - Beaune,"19, Avenue Charles de Gaulle 21200 Beaune",Beaune (France),France,http://www.destination-habitat.fr/beaune,https://www.eventseye.com/fairs/f-destination-habitat-beaune-17743-1.html
INFRATECH 2023,"The Professional Fair for the Civil Engineering, Hydraulic Engineering, Road Construction and Traffic Engineering Industry","Jan. 17 - 20, 2023",Trade Public,every 2 years,Ahoy Rotterdam,Ahoy'-weg 10 3084 BA Rotterdam,Rotterdam (Netherlands),Netherlands,http://www.infratech.nl,https://www.eventseye.com/fairs/f-infratech-11463-1.html
INTERSEC DUBAI 2023,"International meeting platform for security, safety and fire protection","Jan. 16 - 18, 2024",Trade Public,once a year,Dubai World Trade Centre (Dubai Exhibition Centre),Sheik Zayed Road Convention Gate,Dubai (UAE - United Arab Emirates),UAE - United Arab Emirates,http://www.intersecexpo.com,https://www.eventseye.com/fairs/f-intersec-dubai-5221-1.html
"LOUISVILLE BUILD, RENOVATE & LANDSCAPE EXPO 2023","Build, Renovate & Landscape Expo","Jan. 13 - 15, 2023",Trade & General Public,once a year,Kentucky International Convention Center,"221 Fourth Street  Louisville, KY  40202","Louisville, KY (USA)",USA,http://www.homeshowcenter.com/overview/louisvillehome2,https://www.eventseye.com/fairs/f-louisville-build-renovate-landscape-expo-11120-1.html
LIGHT MIDDLE EAST 2023,"Middle East International Trade Event for Urban, Architecture and Retail Lighting Lighting Solutions","Jan. 16 - 18, 2024",Trade Public,once a year,Dubai World Trade Centre (Dubai Exhibition Centre),Sheik Zayed Road Convention Gate,Dubai (UAE - United Arab Emirates),UAE - United Arab Emirates,http://www.lightme.net,https://www.eventseye.com/fairs/f-light-middle-east-5223-1.html
PERIMETER PROTECTION 2023,"Trade fair for perimeter protection, fencing and building security","Jan. 17 - 19, 2023",Trade Public,every 2 years,Exhibition Centre Nuremberg,Messezentrum 90471 Nürnberg,Nuremberg (Germany),Germany,http://www.perimeter-protection.de,https://www.eventseye.com/fairs/f-perimeter-protection-14432-1.html
GOLF UND WELLNESSREISEN 2023,Golf and Wellness Holidays,"Jan. 18 - 21, 2024",General Public,once a year,New Stuttgart Trade Fair Centre,Messepiazza 1 70629 Stuttgart,Stuttgart (Germany),Germany,http://messe-stuttgart.de/golf,https://www.eventseye.com/fairs/f-golf-und-wellnessreisen-1165-1.html
ACETECH - HYDERABAD 2023,"Exhibition dedicated solely to the Construction Industry. ACETECH is a leading trade fair in Asia for architecture, building materials, innovation and design","Jan. 19 - 21, 2024",Trade Public,once a year,Hyderabad International Trade Exposition Centre (HITEX),HITEX Exhibition Centre Izzat Nagar,Hyderabad (India),India,http://www.etacetech.com,https://www.eventseye.com/fairs/f-acetech-hyderabad-25356-1.html
WORLD OF CONCRETE 2023,World of Concrete is the industry's only annual international event dedicated to the commercial concrete and masonry construction industries,"Jan. 22 - 25, 2024",Trade Public,once a year,Las Vegas Convention Center,"3150 Paradise Road  Las Vegas, NV 89109","Las Vegas, NV (USA)",USA,http://www.worldofconcrete.com,https://www.eventseye.com/fairs/f-world-of-concrete-14097-1.html
INTERIOR DESIGN SHOW - TORONTO 2023,Toronto Home Design Show. IDS Toronto celebrates and promotes design in Canada and across the world,"Jan. 19 - 22, 2023",Trade & General Public,once a year,Metro Toronto Convention Centre,"255 Front Street West  Toronto, ON","Toronto, ON (Canada)",Canada,http://toronto.interiordesignshow.com,https://www.eventseye.com/fairs/f-interior-design-show-toronto-12686-1.html
BIG SPRING HOME & GARDEN SHOW 2023,"Home improvements and remodeling show in Pomona, C. POMONA BIG SPRING HOME & GARDEN SHOW features furniture, kitchen appliances, bathroom designs, construction & renovation services, re-modeling ideas, interior designers...","Jan. 20 - 22, 2023",Trade & General Public,once a year,Fairplex,"1101 W. McKinley Avenue  Pomona, CA. 91768","Pomona, CA (USA)",USA,http://www.homeshowconsultants.com,https://www.eventseye.com/fairs/f-big-spring-home-garden-show-24318-1.html
MIDEX 2023,"Architecture, Modern House & Interior Design Trade Show","Jan. 19 - 22, 2023",Trade & General Public,once a year,Tehran Permanent Fairground,Dr. Chamran Highway Tadjrish,Tehran (Iran),Iran,http://www.midex.ir/en,https://www.eventseye.com/fairs/f-midex-20896-1.html
"CHARLOTTE BUILD, REMODEL & LANDSCAPE EXPO 2023","Build, Remodel & Landscape Expo","Jan. 20 - 22, 2023",Trade & General Public,once a year,Charlotte Convention Center,"501 South College Street Charlotte, NC 28202","Charlotte, NC (USA)",USA,http://www.homeshowcenter.com/overview/charlottehome,https://www.eventseye.com/fairs/f-charlotte-build-remodel-landscape-expo-11117-1.html
LES THERMALIES - PARIS 2023,"Water, Wellness, Thermalism & Thalassotherapy Exhibition","Jan. 19 - 22, 2023",General Public,once a year,Carrousel du Louvre,99 rue de Rivoli 75039 Paris Cédex 01,Paris (France),France,http://www.thermalies.com/paris/thermalies-en.html,https://www.eventseye.com/fairs/f-les-thermalies-paris-121-1.html
OTTAWA HOME & REMODELLING SHOW 2023,"Ottawa, ON Home, Remodelling & Garden Show. Innovative Products and Hundreds of Experts all Under One Roof","Jan. 18 - 21, 2024",Trade & General Public,once a year,Ernst & Young Centre,4899 Uplands Drive Ottawa ON K1V 2N6,"Ottawa, ON (Canada)",Canada,http://ottawahomeandremodellingshow.com,https://www.eventseye.com/fairs/f-ottawa-home-remodelling-show-28326-1.html
BAUMESSE OFFENBACH 2023,"Home, Construction, Renovation & Energy Savings Expo","Jan. 19 - 21, 2024",Trade & General Public,once a year,Messe Offenbach,Kaiserstraße 108–112 D-63065 Offenbach,Offenbach am Main (Germany),Germany,http://www.baumesse.de/offenbach,https://www.eventseye.com/fairs/f-baumesse-offenbach-17089-1.html
ARCHITECT @ WORK - TURKEY 2023,"Exhibition for Architecture & Interior Design. ARCHITECT@WORK gives you the opportunity to get into contact with: architects, interior architects, designers, engineering bureaus, project developers, technical services, towns & district councils",on Jan. 2023,Trade Public,every 2 years,Istanbul Expo Center / Istanbul Fuar Merkezi / CNR Expo,"Atatürk Havalimani Karsisi 34149 Yesilköy, Istanbul",Istanbul (Turkey),Turkey,http://turkey.architectatwork.com/en/home,https://www.eventseye.com/fairs/f-architect-@-work-turkey-27716-1.html
CINCINNATI REMODEL & DESIGN SHOW 2023,"Home Improvement & Design Show. Kitchen and bath remodeling, roofing, flooring, home security, water conditioning, insulation, windows and exterior products, everything for the garage, as well as the latest hardscaping and outdoor living designs","Jan. 20 - 29, 2023",Trade & General Public,once a year,Sharonville Convention Center,"11355 Chester Road Cincinnati, OH, 45246-4002","Cincinnati, OH (USA)",USA,http://www.homeshowcenter.com/overview/cincinnati,https://www.eventseye.com/fairs/f-cincinnati-remodel-design-show-18518-1.html
HAUS|BAU|ENERGIE DONAUESCHINGEN 2023,"Building & Home Renovation Expo. House construction, renewable energies, interior fittings, heating technology, windows, doors & gates, security technology and smart home, bathrooms, kitchens...","Jan. 20 - 22, 2023",Trade & General Public,once a year,Donauhalle,Marktstr. 2 78166 Donaueschingen,Donaueschingen (Germany),Germany,http://www.hbe-messe.de/donaueschingen,https://www.eventseye.com/fairs/f-haus-bau-energie-donaueschingen-12105-1.html
HAUSBAU + ENERGIESPAREN TULLN 2023,Building & Energy Efficiency Show in eastern Austria,"Jan. 20 - 22, 2023",Trade Public,once a year,Messe Tulln,Messegelände A-3430 Tulln,Tulln (Austria),Austria,http://www.messe-tulln.at/messe-kalender/hausbau-energiesparen-tulln,https://www.eventseye.com/fairs/f-hausbau-energiesparen-tulln-23582-1.html
"NORTHWEST REMODELING EXPO — SEATTLE, WA 2023","The Seattle Remodeling Expo offers the latest information & inspirational ideas pertaining to all aspects of the home including the newest design trends, building & remodeling innovations & the latest options available to improve home's energy efficiency","Jan. 20 - 22, 2023",Trade & General Public,once a year,Seatle Convention Center,"705 Pike Street Seattle, WA 98101-2310","Seattle, WA (USA)",USA,http://www.homeshowcenter.com/overview/seattle,https://www.eventseye.com/fairs/f-northwest-remodeling-expo-seattle-wa-11138-1.html
HOME + REMODELING SHOW 2023,"Chantilly, VA Home, Gardening, Remodelling and Home Decor show","Jan. 20 - 22, 2023",Trade & General Public,once a year,Dulles Expo & Conference Center,"4368 Chantilly Shopping Center Chantilly, VA 20153","Fairfax, VA (USA)",USA,http://homeandremodelingshow.com,https://www.eventseye.com/fairs/f-home-remodeling-show-28328-1.html
OKLAHOMA CITY HOME + GARDEN SHOW 2023,"Oklahoma City, OK Home & Garden Show. Innovative Products and Hundreds of Experts all Under One Roof","Jan. 19 - 21, 2024",Trade & General Public,once a year,OKC Fairground,"3001 General Pershing Blvd Oklahoma City, OK 73107","Oklahoma City, OK (USA)",USA,http://www.oklahomacityhomeshow.com,https://www.eventseye.com/fairs/f-oklahoma-city-home-garden-show-14700-1.html
RIVERSIDE HOME & GARDEN SHOW 2023,"Home improvements and remodeling show in Ontario, C. THE RIVERSIDE HOME & GARDEN SHOW features furniture, kitchen appliances, bathroom designs, construction & renovation services, re-modeling ideas, interior designers...","Jan. 20 - 22, 2023",Trade & General Public,twice a year,Riverside Convention Center,"3637 5th St Riverside, CA 92501","Ontario, CA (USA)",USA,http://www.homeshowconsultants.com,https://www.eventseye.com/fairs/f-riverside-home-garden-show-24320-1.html
INDIANAPOLIS HOME SHOW 2023,"Indianapolis, IN Home Show. Innovative Products and Hundreds of Experts all Under One Roof","Jan. 20 - 29, 2023",Trade & General Public,once a year,Indiana State Fairgrounds,"1202 E. 38th Street Indianapolis, IN 46205","Indianapolis, IN (USA)",USA,http://www.indianapolishomeshow.com,https://www.eventseye.com/fairs/f-indianapolis-home-show-10333-1.html
"HOME IMPROVEMENT & DESIGN EXPO - SHAKOPEE, MN 2023","Home Improvement & Design Show. Home Improvement & Design Expo SHAKOPEE will enable you to meet decorators, builders, remodelers, designers, suppliers and other professionals with expertise in the home improvement and design industry",on Oct. 2024 (?),Trade & General Public,twice a year,Canterbury Park Shakopee,"1100 Canterbury Rd Shakopee, MN 55379","Bloomington, MN (USA)",USA,http://minnesotahomeshows.com/show-schedule,https://www.eventseye.com/fairs/f-home-improvement-design-expo-shakopee-mn-11172-1.html
HAUS UND ENERGIE 2023,"Architecture, baths, floor coverings, paints, insulation materials, energy technology, facades, windows, garage doors, heating, tiles, kitchens, photovoltaic, stairs, doors, heat pumps, water treatment…","Jan. 22 - 23, 2023",Trade Public,once a year,Messe Sindelfingen,Mahdentalstr. 116 71065 Sindelfingen,Sindelfingen (Germany),Germany,http://www.hbe-messe.de,https://www.eventseye.com/fairs/f-haus-und-energie-12491-1.html
JACKSONVILLE HOME + PATIO SHOW (JANUARY) 2023,"Jacksonville, FL Home and Garden Show. The Jacksonville Home & Patio Show reveals the newest in Home, Remodelling, Home Decor, and More! The show offers the opportunity to meet hundreds of experts and experience thousands of products & services","Jan. 20 - 22, 2023",Trade & General Public,once a year,Prime Osborn Convention Center,"1000 Water Street Jacksonville, FL 32204","Jacksonville, FL (USA)",USA,http://marketplaceevents.com/our-shows,https://www.eventseye.com/fairs/f-jacksonville-home-patio-show-(january)-29458-1.html
BUILDEXPO AFRICA - ETHIOPIA 2023,"International Building, Construction, Municipal Equipment, Natural Stone, Machinery and Equipment Exhibition",on Jan. 2024 (?),Trade Public,once a year,Millennium Hall,Bole Addis Ababa,Addis Ababa (Ethiopia),Ethiopia,http://buildexpo.expogr.com,https://www.eventseye.com/fairs/f-buildexpo-africa-ethiopia-25259-1.html
JANUARY FURNITURE SHOW 2023,January Furniture Show' is the UK's must-attend furniture and interiors event. This where serious buyers and exhibitors come together to do business in the heart of the UK,"Jan. 21 - 24, 2024",Trade Public,once a year,National Exhibition Centre,Birmingham B40 1NT,Birmingham (UK - United Kingdom),UK - United Kingdom,http://januaryfurnitureshow.com,https://www.eventseye.com/fairs/f-january-furniture-show-26758-1.html
